epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4650.68,1.03445,0.7199,1.0892,0.99416,0.96753,0.98435,0.624,1.38108,0.86327,1.19484,0.000848969,0.000848969,0.000848969
43,4762,1.04916,0.71213,1.08984,0.98287,0.97979,0.98297,0.60122,1.41899,0.86621,1.19349,0.000834822,0.000834822,0.000834822
44,4872.85,1.04457,0.70299,1.077,0.99425,0.97996,0.98391,0.60101,1.39566,0.85454,1.18963,0.000820675,0.000820675,0.000820675
45,4981.76,1.02642,0.69435,1.09619,0.99503,0.97934,0.98199,0.63396,1.35994,0.84835,1.18007,0.000806528,0.000806528,0.000806528
46,5096.97,0.98822,0.68499,1.06571,0.97958,0.98225,0.98087,0.59188,1.4248,0.86674,1.20224,0.00079238,0.00079238,0.00079238
47,5205.9,1.02618,0.7164,1.07393,0.99557,0.97808,0.98167,0.60119,1.38347,0.85426,1.1953,0.000778233,0.000778233,0.000778233
48,5318.63,1.00971,0.70253,1.06848,0.99758,0.96825,0.98106,0.64421,1.3315,0.83019,1.17461,0.000764086,0.000764086,0.000764086
49,5450.24,0.97621,0.6538,1.05883,0.99688,0.96423,0.98106,0.6164,1.39389,0.82415,1.20383,0.000749939,0.000749939,0.000749939
50,5565.88,1.04043,0.65106,1.09379,0.9942,0.96325,0.98087,0.62233,1.34852,0.80806,1.1932,0.000735792,0.000735792,0.000735792
51,5678.49,0.97308,0.63513,1.04279,0.95444,0.96825,0.98124,0.65031,1.29812,0.79068,1.15982,0.000721645,0.000721645,0.000721645
52,5798.82,0.99711,0.65777,1.11319,0.98183,0.95979,0.98201,0.6346,1.40948,0.83308,1.1925,0.000707498,0.000707498,0.000707498
53,5917.26,0.99342,0.63735,1.05899,0.95278,0.9803,0.98272,0.62925,1.45907,0.83153,1.272,0.000693351,0.000693351,0.000693351
54,6036.81,0.99374,0.64345,1.09475,0.99224,0.96082,0.98576,0.61985,1.38972,0.81055,1.20497,0.000679204,0.000679204,0.000679204
55,6146.71,0.97015,0.63043,1.06104,0.99454,0.96556,0.98439,0.62822,1.34259,0.78853,1.17016,0.000665057,0.000665057,0.000665057
56,6257.06,0.96065,0.62917,1.05593,0.99445,0.96825,0.98247,0.64315,1.2882,0.7654,1.16227,0.000650909,0.000650909,0.000650909
57,6369.29,1.01321,0.63821,1.06547,0.99396,0.96098,0.98106,0.64814,1.2671,0.76453,1.1489,0.000636762,0.000636762,0.000636762
58,6495.13,0.97048,0.62206,1.02661,0.99759,0.96444,0.98106,0.63858,1.30029,0.7635,1.16415,0.000622615,0.000622615,0.000622615
