epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2777.5,1.2515,1.11854,1.14892,0.99324,1,0.995,0.55366,1.49315,1.00445,1.20452,0.000834822,0.000834822,0.000834822
44,2852.14,1.29527,1.0627,1.159,0.99013,1,0.995,0.40331,2.00284,1.38536,1.50279,0.000820675,0.000820675,0.000820675
45,2934.73,1.24007,1.06187,1.14852,0.99134,1,0.995,0.47968,1.88005,1.16994,1.42417,0.000806528,0.000806528,0.000806528
46,3005.46,1.20389,1.01741,1.09955,0.98735,1,0.995,0.52943,1.72489,1.01664,1.32092,0.00079238,0.00079238,0.00079238
47,3068.13,1.22215,0.98569,1.13698,0.99078,1,0.995,0.46208,1.9676,1.01585,1.47593,0.000778233,0.000778233,0.000778233
48,3135.23,1.17125,0.97077,1.11377,0.97887,0.99861,0.995,0.45358,2.03446,1.13892,1.50281,0.000764086,0.000764086,0.000764086
49,3199.75,1.16512,1.02111,1.0924,0.98448,1,0.995,0.4904,1.86232,1.20305,1.37916,0.000749939,0.000749939,0.000749939
50,3262.74,1.20476,1.02258,1.10569,0.98478,1,0.995,0.56795,1.60519,1.0505,1.24057,0.000735792,0.000735792,0.000735792
51,3325.78,1.1584,0.98785,1.11621,0.98365,1,0.995,0.56867,1.54291,0.94329,1.20724,0.000721645,0.000721645,0.000721645
52,3388.73,1.1478,0.94076,1.07789,0.97631,0.99749,0.995,0.56466,1.54835,0.86251,1.21541,0.000707498,0.000707498,0.000707498
53,3456.72,1.18322,0.93572,1.0899,0.97402,0.9973,0.995,0.5721,1.57398,0.85606,1.23168,0.000693351,0.000693351,0.000693351
54,3519.66,1.11469,0.91833,1.06706,0.97362,0.99755,0.995,0.5843,1.55283,0.85215,1.21195,0.000679204,0.000679204,0.000679204
55,3587.22,1.11026,0.86766,1.07686,0.98008,1,0.995,0.57835,1.52873,0.77413,1.20507,0.000665057,0.000665057,0.000665057
56,3654.18,1.08041,0.87815,1.06844,0.97701,1,0.995,0.55822,1.62059,0.7928,1.25692,0.000650909,0.000650909,0.000650909
57,3722.94,1.15852,0.92173,1.08357,0.97844,1,0.995,0.5038,1.89732,0.88151,1.40198,0.000636762,0.000636762,0.000636762
58,3789.99,1.14438,0.86847,1.08872,0.98533,1,0.995,0.47189,1.97772,0.96038,1.45595,0.000622615,0.000622615,0.000622615
59,3852.64,1.07992,0.83818,1.05856,0.98853,1,0.995,0.45781,2.0305,1.03088,1.51047,0.000608468,0.000608468,0.000608468
60,3919.47,1.10723,0.846,1.08368,0.98821,1,0.995,0.46011,1.98722,0.98441,1.50363,0.000594321,0.000594321,0.000594321
61,3981.41,1.17544,0.91411,1.08318,0.98871,1,0.995,0.4681,1.96068,0.91278,1.4939,0.000580174,0.000580174,0.000580174
62,4049.21,1.16091,0.87597,1.08721,0.98924,1,0.995,0.46924,1.96904,0.8671,1.4943,0.000566027,0.000566027,0.000566027
63,4118.52,1.15635,0.88244,1.08538,0.9902,1,0.995,0.5532,1.70312,0.79892,1.30086,0.00055188,0.00055188,0.00055188
64,4198.24,1.15959,0.88187,1.07001,0.98843,1,0.995,0.55233,1.64171,0.83426,1.26608,0.000537733,0.000537733,0.000537733
65,4271.33,1.18211,0.88605,1.08565,0.98658,1,0.995,0.57309,1.62309,0.92476,1.25926,0.000523586,0.000523586,0.000523586
66,4341.94,1.12797,0.98174,1.10757,0.98748,1,0.995,0.54603,1.66258,0.88748,1.27399,0.000509438,0.000509438,0.000509438
67,4411.08,1.10679,0.84877,1.05468,0.98464,1,0.995,0.51904,1.81216,0.88576,1.35851,0.000495291,0.000495291,0.000495291
68,4476.11,1.12766,0.82982,1.05716,0.98995,1,0.995,0.4444,2.08661,0.84518,1.50214,0.000481144,0.000481144,0.000481144
69,4540.04,1.06319,0.80484,1.04648,0.99038,1,0.995,0.47565,1.9619,0.79121,1.42106,0.000466997,0.000466997,0.000466997
70,4602.22,1.06772,0.83176,1.02101,0.98616,1,0.995,0.50612,1.79645,0.74726,1.33962,0.00045285,0.00045285,0.00045285
